3.7	drei komma sieben|dreieinhalb
2.4	zwei komma vier|zweieinhalb (rounded up)
1,234.56	eintausendzweihundertvierunddreißig komma sechsundfünfzig
500.75	fünfhundert komma fünfundsiebzig|fünfhundertundsiebzig Komma fünf
7.8	sieben komma acht|sieben Kommateiler acht|sieben Kommaacht
6,789,432.10	sechs Millionen siebenhundertneunundachtzigtausendvierhundertzweiunddreißig komma zehn
2.3	"zwei komma drei|zweieinhalb (Note: ""zweieinhalb"" is not a valid written form for 2.3, but it is a common spoken form.)"
65,987.55	fünfundsechzigtausendneunhundertsiebenundachtzig komma fünfundfünfzig
156.30	einhundertsechsundfünfzig komma drei null
3.5	drei komma fünf|dreieinhalb
344.23	dreihundertvierundvierzig komma dreiundzwanzig
2.43	zwei komma dreiundvierzig
7.56	sieben komma sechs sechs|sieben komma sechsundfünfzig
2,623.12	zweitausendsechshundertdreiundzwanzig komma zwölf|zweitausendsechshundertdreiundzwanzig komma zwölfzehn
678,432.14	sechshundertachtundsiebzigtausendvierhundertzweiunddreißig komma vierzehn
15.99	fünfzehn komma neun neun|fünfzehn Euro neunundneunzig Cent
22.67	zweiundzwanzig komma sechs sieben|zweiundzwanzig komma sechsundsiebzig|zweiundzwanzig komma siebenundsechzig
8.98	acht komma neun acht|acht komma neunundneunzig
85.50	fünfundachtzig komma fünf null|fünfundachtzig komma fünfzig
9,345,621.78	neun Millionen dreihundertfünfundvierzigtausendsechshunderteinundzwanzig komma achtundsiebzig
9.99	neun komma neun neun|neunundneunzig Hundertstel
2,335,987.44	zwei Millionen dreihundertfünfunddreißigtausendneunhundertsiebenundachtzig komma vier vier
22,499.99	zweiundzwanzigtausendvierhundertneunundneunzig komma neunundneunzig
2,34.56	NA (This number is not written in a valid format. In German, the comma is used as a decimal separator and the dot is used to separate thousands.)
19.99	neunzehn komma neun neun|neunzehn Euro neunundneunzig Cent
1,000.12	eintausend komma zwölf
32.45	zweiunddreißig komma fünfundvierzig
5.67	fünf komma sechs sieben|fünf komma sechsundsiebzig|fünf Komma sechsundsiebzigstel
14.23	vierzehn komma dreiundzwanzig
1,200,345.76	eine Million zweihunderttausenddreihundertfünfundvierzig komma sechsundsiebzig|eine Million zweihunderttausenddreihundertfünfundvierzig Komma sieben sechs
745.89	siebenhundertfünfundvierzig komma acht neun
25.37	fünfundzwanzig komma siebenunddreißig
2,793.42	zweitausendsiebenhundertdreiundneunzig komma zweiundvierzig
6,788.12	sechstausendsiebenhundertachtundachtzig komma zwölf
5.26	fünf komma zwei sechs|fünf komma sechsundzwanzig
999.99	neunhundertneunundneunzig komma neun neun|neunhundertneunundneunzig komma neunundneunzig
456.32	vierhundertsechsundfünfzig komma zweiunddreißig
4.29	vier komma neunundzwanzig
1.25	eins komma fünfundzwanzig|eineinviertel
225.4	zweihundertfünfundzwanzig komma vier|zweihundertfünfundzwanzig komma vierzig
7,569,301.59	sieben Millionen fünfhundertneunundsechzigtausenddreihunderteins komma neunundfünfzig
50.8	fünfzig komma acht
200.56	zweihundert komma sechsundfünfzig|zweihundertsechzig komma sechs
12,000.25	zwölftausend komma fünfundzwanzig|zwölftausend komma zwei fünf
7.2	sieben komma zwei|siebeneinhalb (rounded up)
2,318,029.87	zwei Millionen dreihundertachtzehntausendneunundzwanzig komma acht sieben
600,000	sechshunderttausend
2.5	zwei komma fünf|zweieinhalb
532,111.67	fünfhundertzweiunddreißigtausendeinhundertelf komma sechs sieben
20.7	zwanzig komma sieben|zwanzig und sieben Zehntel
0.89	null komma acht neun
9.3	neun komma drei|neun Komma Drei
4.6	vier komma sechs|vier Komma sechzig
12.8	zwölf komma acht|zwölf Komma achtzehn
29,031.69	neunundzwanzigtausend einunddreißig komma neunundsechzig
280.55	zweihundertachtzig komma fünf fünf|zweihundertachtzig komma fünfundfünfzig
534.23	fünfhundertvierunddreißig komma dreiundzwanzig
6.7	sechs komma sieben
1,500,000.50	eine Million fünfhunderttausend komma fünfzig
8,999.99	achttausendneunhundertneunundneunzig komma neun neun|achttausendneunhundertneunundneunzig komma neunundneunzig
0.75	null komma sieben fünf|dreiviertel
3,600.25	dreitausendsechshundert komma fünfundzwanzig|dreitausendsechshundert komma fünfundzwanzig|drei Komma sechstausendfünfhundertfünfundzwanzig|drei Komma sechstausendfünfhundertfünfundzwanzig
24.9	vierundzwanzig komma neun
4.35	vier komma drei fünf|vier komma fünfunddreißig
45.67	fünfundvierzig komma sechs sieben|fünfundvierzig komma sechsundsiebzig
1,500.5	eintausendfünfhundert komma fünf|eintausendfünfhundertfünfzig komma fünf
850.64	achthundertfünfzig komma vierundsechzig
3.45	drei komma vier fünf|drei komma fünfundvierzig
320.75	dreihundertzwanzig komma fünfundsiebzig
56.8	sechsundfünfzig komma acht
2.25	zwei komma zwei fünf|zweiundzwanzig Fünftel
4,200.50	vier tausend zweihundert komma fünfzig
344.87	dreihundertvierundvierzig komma acht sieben
3.14	drei komma eins vier|drei komma vierzehn
29.99	neunundzwanzig komma neunundneunzig
13.37	dreizehn komma drei sieben
4,567.89	vier­tausend­fünf­hundert­sieben­und­sechzig komma neun­und­achtzig
8,500.50	achttausendfünfhundert komma fünf null|achttausendfünfhundertfünfzig komma fünfzig
350.25	dreihundertfünfzig komma fünfundzwanzig|dreihundertfünfzig komma zwei fünf
5.87	fünf komma acht sieben
1,214.32	eintausendzweihundertvierzehn komma zweiunddreißig
12.17	zwölf komma siebzehn
2,342.56	zweitausenddreihundertzweiundvierzig komma sechs fünf|zweitausenddreihundertzweiundvierzig komma sechsundfünfzig
0.76	null komma sieben sechs|siebenundsechzig Hundertstel
532.91	fünfhundertzweiunddreißig komma neun eins|fünfhundertzweiunddreißig komma einundneunzig
143.69	einhundertdreiundvierzig komma neunundsechzig
521,000.99	fünfhunderteinundzwanzigtausend neunhundertneunundneunzig komma neun neun
8.23	acht komma dreiundzwanzig
3,106.75	dreitausendeinhundertsechs komma fünfundsiebzig
30.12	dreißig komma zwölf|dreißig und zwölf Hundertstel
344.05	dreihundertvierundvierzig komma null fünf|dreihundertvierundvierzig komma null fünfzehn
29,029.24	neunundzwanzigtausendneunundzwanzig komma vierundzwanzig|neunundzwanzigtausendneunundzwanzig komma null zwei vier
6.8	sechs komma acht|sechskommaacht|sechs Komma acht|sechskommaacht
550.50	fünfhundertfünfzig komma fünf null|fünfhundertfünfzig komma fünfzig
3,218.75	dreitausendzweihundertachtzehn komma fünfundsiebzig
0.25	Null komma zwei fünf|ein Viertel
2,791.04	zweitausendsiebenhunderteinundneunzig komma null vier
27.5	siebenundzwanzig komma fünf|siebenundzwanzig einhalb
90.87	neunzig komma acht sieben
35.60	fünfunddreißig komma sechzig
6.03	sechs komma null drei|sechs Komma drei
42.38	zweiundvierzig komma acht drei|zweiundvierzig komma achtunddreißig
104	einhundertvier
10	zehn
55.5	fünfundfünfzig komma fünf|fünfundfünfzig einhalb
8.7	acht komma sieben|achtundzwanzig Zehntel (Note: The second option is not commonly used in everyday language, but it is a valid way to express decimal numbers in German.)
90	neunzig
57,899.99	siebenundfünfzigtausendachthundertneunundneunzig komma neunundneunzig
238,855.05	zweihundertachtunddreißigtausendachthundertfünfundfünfzig komma null fünf|zweihundertachtunddreißigtausendachthundertfünfundfünfzig komma fünf fünf
2,500.75	zweitausendfünfhundert komma fünfundsiebzig|zweieinhalbtausend komma fünfundsiebzig
12.76	zwölf komma sieben sechs|zwölf komma sechsundsiebzig
265,000.50	zweihundertfünfundsechzigtausendfünfzig komma fünf null
38.9	achtunddreißig komma neun|achtunddreißig Komma neunzig
512.34	fünfhundertzwölf komma vierunddreißig
1,234,567.89	eine Million zweihundertvierunddreißigtausendfünfhundertsiebenundsechzig komma neunundachtzig
3.2	"drei komma zwei|dreieinhalb (Note: ""dreieinhalb"" is a colloquial way of saying ""three and a half"", but it is commonly used in German to refer to decimal numbers like 3.5 or 3.6)"
26.2	sechsundzwanzig komma zwei|sechsundzwanzig komma zwanzig
10.5	zehn komma fünf|zehneinhalb
500,000.75	fünfhunderttausend komma sieben fünf
150.6	einhundertfünfzig komma sechs|einhundertfünfzig komma sechzig
13,456.78	dreizehntausendvierhundertsechsundfünfzig komma sieben acht
8.95	acht komma neun fünf|acht Komma neunundneunzig
5.9	fünf komma neun
7.99	sieben komma neun neun|sieben Komma neunundneunzig
16.78	sechzehn komma sieben acht|sechzehn komma achtundsiebzig
50.37	fünfzig komma drei sieben
1.85	eins komma fünfundachtzig|eins und achtzig Hundertstel
55.55	fünfundfünfzig komma fünf fünf|fünfundfünfzig komma fünfundfünfzig
1,416.76	eintausendvierhundertsechzehn komma sechsundsiebzig
250.75	zweihundertfünfzig komma fünfundsiebzig
26.79	sechsundzwanzig komma neunundsiebzig
84.50	vierundachtzig komma fünf null
2.54	zwei komma vierundfünfzig
125.45	einhundertfünfundzwanzig komma fünfundvierzig
5,000.57	fünftausend komma siebenundfünfzig
180.65	einhundertachtzig komma fünfundsechzig
16.99	sechzehn komma neun neun|sechzehn Euro neunundneunzig Cent
12.3	zwölf komma drei|zwölf und drei Zehntel
164.8	einhundertvierundsechzig komma acht|einhundertvierundsechzig komma achtzig
98.6	neunundneunzig komma sechs
7.35	sieben komma drei fünf|sieben komma fünfunddreißig
29,029	neunundzwanzigtausendneunundzwanzig
85,000.50	fünfundachtzigtausend komma fünf null|fünfundachtzigtausend komma fünfzig
5,000.50	fünftausend komma fünf null|fünftausend komma fünfzig
28.76	achtundzwanzig komma sechsundsiebzig
350.99	dreihundertfünfzig komma neun neun|dreihundertfünfzig Komma neunundneunzig
42.17	zweiundvierzig komma einsieben
2,789.45	zweitausendsiebenhundertneunundachtzig komma fünfundvierzig
67.89	siebenundsechzig komma neun acht|siebenundsechzig komma neunundachtzig
12.34	zwölf komma vierunddreißig
18.75	achtzehn komma sieben fünf
32,553.89	zweiunddreißigtausendfünfhundertdreiundfünfzig komma neunundachtzig
899.99	achthundertneunundneunzig komma neun neun|achthundertneunundneunzig komma neunundneunzig
3.50	drei komma fünfzig|drei Euro fünfzig Cent
55.53	fünfundfünfzig komma dreiundfünfzig|fünfundfünfzig komma fünf drei
1422.14	eintausendvierhundertzweiundzwanzig komma vierzehn
8,848.86	achttausendachthundertachtundvierzig komma sechs sechs
33.50	dreiunddreißig komma fünf null|dreiunddreißig komma fünfzig
586.41	fünfhundertsechsundachtzig komma einundvierzig
4.93	vier komma neun drei|vier komma dreiundneunzig
13,170.69	dreizehntausendeinhundertsiebzig komma neunundsechzig
76	sechsundsiebzig
2.75	zwei komma sieben fünf|zwei komma fünfundsiebzig|zweiundsiebzighalb
206.5	zweihundertsechs komma fünf|zweihundertsechseinhalb
3,415,322.80	drei Millionen vierhundertfünfzehntausenddreihundertzweiundzwanzig komma achtzig
1.5	eins komma fünf|eineinhalb
10,000.75	zehntausend komma sieben fünf|zehntausend komma fünfundsiebzig
9.27	neun komma zwei sieben
65.50	fünfundsechzig komma fünf null|fünfundsechzig komma fünfzig
2000.15	zweitausend komma fünfzehn|zweitausendundfünfzehn hundertstel
250.65	zweihundertfünfzig komma fünfundsechzig
2.45	zwei komma vier fünf|zwei komma fünfundvierzig
180.50	einhundertachtzig komma fünf null|einhundertachtzig komma fünfzig
400.75	vierhundert komma fünfundsiebzig
3.67	drei komma sechs sieben|drei komma siebenundsechzig
4.55	vier komma fünf fünf|vier komma fünfundfünfzig
36,070.79	sechsunddreißigtausendsiebzig komma neunundsiebzig
12,500.85	zwölftausendfünfhundert komma fünfundachtzig|zwölftausendfünfhundertachtzig fünf
4,568.32	viertausendfünfhundertachtundsechzig komma zweiunddreißig
78,543.99	achtundsiebzigtausendfünfhundertdreiundvierzig komma neun neun|achtundsiebzigtausendfünfhundertdreiundvierzig komma neunundneunzig
12.75	zwölf komma sieben fünf|zwölf komma fünfundsiebzig
0.68	null komma sechs acht
456,987.23	vierhundertsechsundfünfzigtausendneunhundertsiebenundachtzig komma dreiundzwanzig
57.88	siebenundfünfzig komma acht acht|siebenundfünfzig komma achtundachtzig
16.8	sechzehn komma acht|sechzehneinhalb
789.45	siebenhundertneunundachtzig komma fünfundvierzig
30.7	dreißig komma sieben|dreißig und sieben Zehntel
27.9	siebenundzwanzig komma neun|siebenundzwanzig komma neunzig
52.3	zweiundfünfzig komma drei|zweiundfünfzig komma dreißig
12.6	zwölf komma sechs|zwölf Komma sechs
245.60	zweihundertfünfundvierzig komma sechzig|zweihundertfünfundvierzig komma sechzig null
4.7	vier komma sieben|vier Komma sieben
156.87	einhundertsechsundfünfzig komma acht sieben
7.5	sieben komma fünf|siebeneinhalb
8,900.75	achttausendneunhundert Komma sieben fünf
345,678.99	dreihundertfünfundvierzigtausendsechshundertachtundsiebzig komma neunundneunzig
2,793.21	zweitausendsiebenhundertdreiundneunzig komma einundzwanzig|zweitausendsiebenhundertdreiundneunzig komma zwei eins
24.97	vierundzwanzig komma neun sieben|vierundzwanzig komma siebenundneunzig
60.36	sechzig komma sechsunddreißig
14.99	vierzehn komma neun neun
1,250.87	eintausendzweihundertfünfzig komma siebenundachtzig
12,742.18	zwölftausendsiebenhundertzweiundvierzig komma achtzehn
50.25	fünfzig komma zwei fünf|fünfzig komma fünfundzwanzig
372.6	dreihundertzweiundsiebzig komma sechs|dreihundertzweiundsiebzig komma sechs Zehntel
7.89	sieben komma acht neun|sieben komma neunundachtzig
500	fünfhundert
35.90	fünfunddreißig komma neunzig
22.68	zweiundzwanzig komma sechs acht|zweiundzwanzig komma achtundsechzig
3,945.79	dreitausendneunhundertfünfundvierzig komma neunundsiebzig
10,971	zehntausendneunhunderteinundsiebzig
8.75	acht komma sieben fünf|acht komma fünfundsiebzig|acht und siebzig Hundertstel
49.99	neunundvierzig komma neun neun
200.34	zweihundert komma vierunddreißig|zweihundert komma vierunddreiviertel
1.1286	eins komma eins zwei acht sechs
250.89	zweihundertfünfzig komma neun acht|zweihundertfünfzig komma neunundachtzig
4,500.63	viertausendfünfhundert komma dreiundsechzig|viertausendfünfhundertsechzig komma drei
42.195	zweiundvierzig komma einhundertfünfundneunzig
27.8	siebenundzwanzig komma acht|siebenundzwanzig komma achtzig
50.75	fünfzig komma sieben fünf|fünfzig komma fünfundsiebzig
4.25	vier komma fünfundzwanzig|vier und ein Viertel
946.35	neunhundertsechsundvierzig komma fünfunddreißig
1,000.23	eintausend komma dreiundzwanzig|eintausend zweihundertdreiundzwanzig hundertstel
500.85	fünfhundert komma fünfundachtzig
0.5	null komma fünf|halb
300	dreihundert
9.8	neun komma acht
0.3	null komma drei
80	achtzig
8.4	acht komma vier|acht Komma vier
0.7	null komma sieben
6,789.50	sechstausendsiebenhundertneunundachtzig komma fünf null
9.2	neun komma zwei|neun Kommateil zwei
2,785.8	zweitausendsiebenhundertfünfundachtzig komma acht
83.4	dreiundachtzig komma vier
120.3	einhundertzwanzig komma drei|einhundertzwanzig komma dreißig
500.3	fünfhundert komma drei
5.2	fünf komma zwei|fünf Kommateil zwei
100.5	einhundert komma fünf|einhunderteinhalb
72.3	zweiundsiebzig komma drei
75.5	fünfundsiebzig komma fünf
3,456.7	dreitausendvierhundertsechsundfünfzig komma sieben
4.5	vier komma fünf|vierundeinhalb
15.2	fünfzehn komma zwei|fünfzehn punkt zwei
0.05	null komma null fünf|fünf Hundertstel
33.5	dreiunddreißig komma fünf|dreiunddreißig komma fünfzig|dreiunddreißig einhalb
56.7	sechsundfünfzig komma sieben
1.2	eins komma zwei|eine Komma zwei (if used in a context where the number is treated as a feminine noun)
150	einhundertfünfzig
836,330	achthundertsechsunddreißigtausenddreihundertdreißig
5.6	fünf komma sechs|fünfeinhalb
2,624.6	zweitausendsechshundertvierundzwanzig komma sechs
4.8	vier komma acht|vier Komma achtzehn
25,620.75	fünfundzwanzigtausendsechshundertzwanzig komma fünfundsiebzig
2.6	"zwei komma sechs|zweieinhalb (Note: ""zweieinhalb"" is also a valid translation for 2.5, but not for 2.6)"
825.3	achthundertfünfundzwanzig komma drei
0.9	null komma neun
100.4	einhundert komma vier
2,789.3	zweitausendsiebenhundertneunundachtzig komma drei
1,985.62	eintausendneunhundertfünfundachtzig komma zweiundsechzig
17.83	siebzehn komma acht drei|siebzehn komma dreiundachtzig
50,000.25	fünfzigtausend komma fünfundzwanzig
25.6	fünfundzwanzig komma sechs|fünfundzwanzig komma sechzig
9.87	neun komma acht sieben|neun Komma achtundsiebzig
145.67	einhundertfünfundvierzig komma sechs sieben|einhundertfünfundvierzig komma siebenundsechzig
457.89	vierhundertsiebenundfünfzig komma neun acht
23.45	dreiundzwanzig komma fünfundvierzig
32.10	zweiunddreißig komma zehn|zweiunddreißig komma eins
150.5	einhundertfünfzig komma fünf|einhundertfünfzig komma fünfzig
2300.75	zweitausenddreihundert komma fünfundsiebzig
28.4	achtundzwanzig komma vier
23.7	dreiundzwanzig komma sieben
43.9	dreiundvierzig komma neun
2571.3	zweitausendfünfhunderteinundsiebzig komma drei
499.99	vierhundertneunundneunzig komma neun neun|vierhundertneunundneunzig komma neunundneunzig
89.50	neunundachtzig komma fünf null|neunundachtzig komma fünfzig
185.25	einhundertfünfundachtzig komma zwei fünf|einhundertfünfundachtzig komma fünfundzwanzig
180.67	einhundertachtzig komma sechs sieben|einhundertachtzig komma siebenundsechzig
1,250,000.75	eine Million zweihundertfünfzigtausend komma fünfundsiebzig
235.67	zweihundertfünfunddreißig komma sechs sieben
15.76	fünfzehn komma sieben sechs|fünfzehn komma sechsundsiebzig
102.34	einhundertzwei komma vier drei|einhundertzwei komma vierunddreißig
13.55	dreizehn komma fünf fünf|dreizehn komma fünfundfünfzig
2,780.34	zweitausendsiebenhundertachtzig komma vierunddreißig
47,000.29	siebenundvierzigtausend komma neunundzwanzig
1.98	eins komma neun acht|eins komma neunundneunzig|zwei
2,350.75	zweitausenddreihundertfünfzig komma fünfundsiebzig
8848.86	achttausendachthundertachtundvierzig komma sechs sechs
