down in the dumps	abajo en el vertedero
keeping all balls in the air	mantener todas las pelotas en el aire
knocks it out of the park	lo saca del parque
put all your eggs in one basket	poner todos tus huevos en una sola canasta
think outside the box	pensar fuera de la caja
calls a spade a spade	llama al pan, pan y al vino, vino
dead tired	muerto de cansancio
fell apart	se desmoronó
pass with flying colors	aprobar con colores voladores
under the weather	debajo del clima
get a word in edgewise	conseguir una palabra en el filo de la cuchilla
spills the beans	derrama los frijoles
face the music	enfrentar la música
over the moon	sobre la luna
to pull it off	lograrlo | conseguirlo
keep their eyes on the ball	mantener sus ojos en la pelota
speaks with a forked tongue	habla con lengua bifurcada
bite the bullet	morder la bala
on it like a crutch	en ello como una muleta
take everything he says with a grain of salt	Tomar todo lo que él dice con una pizca de sal.
out of left field	fuera del campo izquierdo
sink or swim	nadar o hundirse
sour grapes	uvas agrias
wait and see	esperar y ver
silver bullet	bala de plata
cut the mustard	cortar la mostaza
a catch	una captura | una atrapada | un enganche
beat around the bush	dar vueltas alrededor del arbusto
like a fish out of water	como un pez fuera del agua
burn the candle at both ends	quemar la vela por ambos extremos
chew the fat	masticar la grasa
bury the hatchet	enterrar el hacha
bark up the wrong tree	ladrar al árbol equivocado
pick myself up by my bootstraps	levantarme por mis propias botas
pie in the sky	pastel en el cielo
Pandora's box	la caja de Pandora
to play it by ear	jugarlo por oído
through the wringer	a través del exprimidor
you have to break a few eggs to make an omelette	tienes que romper algunos huevos para hacer una tortilla
a big softie	un gran blandito
drop the ball	dejar caer la pelota
to play second fiddle	tocar el segundo violín
not my cup of tea	no es mi taza de té
to bite the bullet	morder la bala
the ball rolling	hacer rodar la pelota
a piece of cake	un pedazo de pastel | pan comido
his word	su palabra
her cool	su frescura
plan A	plan A
making a mountain out of a molehill	hacer una montaña de un grano de arena
skeletons in his closet	esqueletos en su armario
hit the nail on the head	dar en el clavo
bigger fish to fry	peces más grandes que freír
it takes two to tango	se necesitan dos para bailar tango
hit the hay	golpear el heno
bats in his belfry	murciélagos en su campanario
hot under the collar	caliente debajo del cuello
smoke and mirrors	humo y espejos
a chip on his shoulder	un chip en su hombro
the icing on the cake	la cobertura en el pastel
a chip off the old block	una astilla del viejo bloque
break a leg	romperse una pierna
tighten our belts	apretar nuestros cinturones
barking up the wrong tree	ladrando al árbol equivocado
stick to her guns	aferrarse a sus armas
his heart set on	su corazón puesto en
an uphill battle	una batalla cuesta arriba
in over her head	en agua sobre su cabeza
with words	con palabras
circumstances beyond our control	circunstancias fuera de nuestro control
her own business	su propio negocio
running around like a headless chicken	corriendo alrededor como un pollo sin cabeza
the show	el espectáculo
food for thought	comida para el pensamiento
between you and me	entre tú y yo
take shape	tomar forma
a litter of kittens	una camada de gatitos
roll with the punches	rodar con los golpes
To let the cat out of the bag	Dejar salir al gato de la bolsa
between a rock and a hard place	entre la espada y la pared
knocking on wood	golpeando madera
your chickens before they're hatched	tus pollos antes de que nazcan
nipped it in the bud	cortarlo en flor
spilled milk	leche derramada
ins and outs	entradas y salidas
pick up the ball and run with it	recoger la pelota y correr con ella
put your best foot forward	poner tu mejor pie adelante
Burning bridges	Quemando puentes.
beg, borrow or steal	pedir prestado, robar o mendigar
let the chips fall where they may	Dejar que las fichas caigan donde puedan.
walking the talk	caminando el discurso
break the ice	romper el hielo
put our best foot forward	poner nuestro mejor pie adelante
play it by ear	tocarlo por oído
bee in his bonnet	abeja en su sombrero
separating the wheat from the chaff	separando el trigo de la paja
putting money aside for a rainy day	poniendo dinero a un lado para un día lluvioso
call it a day	llamarlo un día
on cloud nine	en la nube nueve
spice things up	darle sabor a las cosas | condimentar las cosas
at home	en casa
seize the day	aprovechar el día
nodding off	asentir con la cabeza mientras te duermes | cabecear
like a duck to water	como un pato al agua
hit the books	golpear los libros
bounce back	rebotar de vuelta
building castles in the air	construyendo castillos en el aire
fighting chance	oportunidad de luchar | posibilidad de pelear
my back	mi espalda
coming up roses	llegando con rosas
golden touch	toque de oro
hit the ground running	empezar con fuerza | empezar con todo | empezar con energía | empezar con impulso
cut to the chase	ir al grano
stranger than fiction	más extraño que la ficción
keep an eye on them	mantener un ojo en ellos
digs in her heels	clava sus talones
let out a sigh of relief	soltar un suspiro de alivio
down the drain	por el desagüe
cost an arm and a leg	costar un ojo de la cara | costar un riñón
bend over backwards	doblar hacia atrás
sit well with me	sentarse bien conmigo
In a nutshell	En pocas palabras | En resumen | En resumidas cuentas
green around the gills	verde alrededor de las branquias
chip on his shoulder	un chip en su hombro
keep your chin up	mantén tu barbilla arriba
dropped the ball	dejó caer la pelota
put all his eggs in one basket	poner todos sus huevos en una sola canasta
see eye to eye	ver ojo a ojo
right up my alley	justo en mi calle
beating a dead horse	golpear un caballo muerto
have a cow	tener una vaca
threw in the towel	lanzó la toalla
lean on her	apoyarse en ella
hammer out	martillar fuera
to go the extra mile	ir la milla extra
stolen her thunder	robar su trueno
caught between a rock and a hard place	atrapado entre la espada y la pared
fallen flat	caído plano
to bite off more than I can chew	morder más de lo que puedo masticar
up in the air	en el aire
up in smoke	en humo
dead in the water	muerto en el agua
sink in	hundirse
to hit the hay	golpear el heno
running around like a chicken with its head cut off	corriendo alrededor como un pollo sin cabeza
behind the eight ball	detrás de la bola ocho
in a rut	en una rutina
to butter me up	untarme mantequilla
the ground running	el suelo corriendo
the whole nine yards	los nueve metros completos
a clean slate	una pizarra limpia
put the cart before the horse	poner el carro delante del caballo
the box	la caja
bite off more than I can chew	morder más de lo que puedo masticar
her pride	su orgullo
in no time	en poco tiempo | en un abrir y cerrar de ojos | en un santiamén
keep our eyes peeled	mantener nuestros ojos pelados
to wrap his head around	envolver su cabeza alrededor | entender algo difícil de comprender
early bird catches the worm	el pájaro madrugador atrapa el gusano
put their nose to the grindstone	poner su nariz en la piedra de moler
to cut to the chase	ir al grano
whole new ballgame	un juego de pelota completamente nuevo
to pull your leg	tirar de tu pierna
to keep their chin up	mantener su barbilla en alto
take the backseat	tomar el asiento trasero
strike while the iron is hot	golpear mientras el hierro está caliente
breathe easy	respirar fácilmente
a spoonful of sugar	una cucharada de azúcar
in the red	en números rojos
feel under the weather	sentirse bajo el clima
hits the nail on the head	dar en el clavo
of leeway	de margen de maniobra
in due course	en debido curso | a su debido tiempo | oportunamente
spill the beans	derramar los frijoles
Bite the bullet	morder la bala
keep their eyes peeled	mantener sus ojos pelados | mantener sus ojos bien abiertos
put our noses to the grindstone	poner nuestras narices en la piedra de moler
turn the tables	dar vuelta a las mesas
fall through	caer a través
keep the ball rolling	mantener la pelota rodando
let the cat out of the bag	dejar salir al gato de la bolsa
hang in there	aguanta ahí
a blur	un borrón
pull the wool over people's eyes	tirar lana sobre los ojos de la gente
dropping the ball	dejar caer la pelota
pull himself together	ponerse juntos a sí mismo
rat race	carrera de ratas
to hit the ground running	empezar con fuerza / empezar con buen pie / empezar con energía
spot on	en el punto exacto | justo en el blanco
stringing her along	Manteniéndola en vilo | Engañándola con falsas esperanzas
a cash cow	una vaca de dinero
traffic jam	atasco de tráfico | embotellamiento de tráfico
went the whole nine yards	fue todo el camino de nueve yardas
let sleeping dogs lie	dejar dormir a los perros
dot our i's and cross our t's	puntar nuestras i's y cruzar nuestras t's
paint the town red	pintar la ciudad de rojo
pulled myself up by my bootstraps	levanté a mí mismo por mis propias botas
bail out	bailar fuera
point him in the right direction	apuntarle en la dirección correcta
to keep a stiff upper lip	mantener un labio superior rígido
sleep on it	dormir sobre ello
fish out of water	pez fuera del agua
a laugh riot	un motín de risa | una carcajada tumultuosa
make or break	hacer o romper
let off steam	soltar vapor
click with you	hacer clic contigo
slow as molasses	lento como la melaza
flat as a pancake	plano como una panqueque
calls the shots	da las órdenes | toma las decisiones
talk the hind legs off a donkey	hablar las patas traseras de un burro
fly off the handle	volar fuera del mango
throw in the towel	tirar la toalla
bite your tongue	morderse la lengua
to get a foot in the door	conseguir un pie en la puerta
let their hair down	soltar su cabello
have a chip on her shoulder	tener un chip en su hombro
to keep their heads above water	mantener sus cabezas por encima del agua
beating around the bush	dando vueltas alrededor del arbusto
to keep my chin up	mantener mi barbilla en alto
started to butt heads	empezó a chocar cabezas
to move the goalposts	mover los postes de la portería
let bygones be bygones	Dejar lo pasado, pasado.
keep all her ducks in a row	mantener todos sus patos en fila
laugh his head off	reírse la cabeza fuera
jump out of her skin	saltar fuera de su piel
at a snail's pace	a paso de caracol
come out of his shell	salir de su caparazón
get one's act together	poner en orden tu acto
as cool as a cucumber	tan fresco como un pepino
a wild-goose chase	una persecución de gansos salvajes
keep the wolf from the door	mantener al lobo alejado de la puerta
she has ants in her pants	ella tiene hormigas en los pantalones
putting all their eggs in one basket	poniendo todos sus huevos en una sola canasta
get a foot in the door	conseguir un pie en la puerta
burn the midnight oil	quemar el aceite de medianoche
feather in her cap	pluma en su gorra
turn over a new leaf	dar vuelta a una nueva hoja
have his cake and eat it too	tener su pastel y comérselo también
weight off her shoulders	peso de sus hombros
better than a poke in the eye with a sharp stick	mejor que un golpe en el ojo con un palo afilado
ballpark figure	figura aproximada | cifra aproximada
all your eggs in one basket	todos tus huevos en una sola canasta
actions speak louder than words	las acciones hablan más fuerte que las palabras
with a pinch of salt	con una pizca de sal
tied to the apron strings	atado a las faldas
off the top of his head	de la cima de su cabeza
knock on wood	tocar madera
music to my ears	música para mis oídos
in hot water	en agua caliente
couch potato	patata de sofá
went their separate ways	se fueron por caminos separados
to look on the bright side	mirar el lado positivo
to keep my head above water	mantener mi cabeza sobre el agua
her bridges	sus puentes
burning a hole in my pocket	quemando un agujero en mi bolsillo
set in his ways	establecido en sus formas
to play fast and loose	jugar rápido y suelto
to throw in the towel	tirar la toalla
cold shoulder	hombro frío
big fish in a small pond	pez grande en un estanque pequeño
burning the midnight oil	quemando el aceite de medianoche
damp squib	cohete mojado
keep my chin up	mantener mi barbilla hacia arriba
take the rap	tomar el rap
getting the hang of it	agarrarle la onda | agarrarle la mano
in over my head	enredado en algo demasiado complicado para mí | en agua turbia | en problemas | en apuros
cool head	cabeza fría
life of the party	vida de la fiesta
noses to the grindstone	narices al esmeril
bigger picture	imagen más grande
get on the same page	ponerse en la misma página
off the cuff	fuera del puño
her all	NA
to sweeten the pot	endulzar la olla
bought hook, line and sinker	comprado gancho, línea y plomo
to go the distance	ir la distancia
to treat yourself	darse un gusto | darse un capricho | mimarse
spinning our wheels	girando nuestras ruedas
silver lining	forro de plata
to hit the nail on the head	dar en el clavo
with a chip on her shoulder	con un chip en su hombro
with a grain of salt	con un grano de sal
to play devil's advocate	jugar al abogado del diablo
a social butterfly	una mariposa social
the benefit of the doubt	el beneficio de la duda
a bitter pill to swallow	una píldora amarga de tragar
a fish out of water	un pez fuera del agua
sell it like hotcakes	venderlo como pan caliente | venderlo muy bien
pull out all the stops	sacar todos los tapones
all hat, no cattle	todo sombrero, sin ganado
to pass up	dejar pasar | rechazar | desaprovechar
to stay ahead of the game	mantenerse adelante del juego
to turn over a new leaf	dar vuelta a una nueva hoja
drop in the bucket	gota en el cubo
sticker shock	choque de pegatina
take a rain check	tomar un cheque de lluvia
has her ducks in a row	tiene sus patos en fila
jump on the bandwagon	subirse al carro
cross the finish line	cruzar la línea de meta
butterflies in his stomach	mariposas en su estómago
lick my wounds	lamer mis heridas
kill two birds with one stone	matar dos pájaros de un tiro
red herrings	arenques rojos
of the essence	de la esencia
she missed the boat	ella perdió el barco
the bush	el arbusto
a fly in the ointment	una mosca en el ungüento
you're tilting at windmills	estás luchando contra molinos de viento
keep an eye on him	mantener un ojo en él
moving the goalposts	mover los postes del arco
playing both sides	jugando en ambos lados
robbing Peter to pay Paul	Robar a Pedro para pagar a Pablo.
cold feet	pies fríos
up the creek without a paddle	en el arroyo sin un remo
silver spoon in her mouth	cuchara de plata en su boca
hitting the hay	golpeando el heno
the real McCoy	el verdadero McCoy
stirring the pot	revolviendo la olla
take the bull by the horns	tomar al toro por los cuernos
live it up	vivirlo hacia arriba
back in the saddle	de vuelta en la silla de montar
jump ship	saltar del barco
play my cards right	jugar mis cartas correctamente
pushing the envelope	empujando el sobre
get off her high horse	bajar de su caballo alto
cut corners	cortar esquinas
put your nose to the grindstone	poner tu nariz en la piedra de moler
flies off the handle	volar del mango
go back to square one	volver al punto de partida
hit rock bottom	tocar fondo
point me in the right direction	apuntarme en la dirección correcta
the name of the game	el nombre del juego
rocket science	ciencia de cohetes
hold my horses	sostener mis caballos
in the dark	en la oscuridad
go the extra mile	ir la milla extra
kick the bucket	dar una patada al cubo
burn that bridge when we come to it	quemar ese puente cuando lleguemos a él
brick wall	pared de ladrillos
chicken out	acojonarse | echarse atrás | rajarse
have butterflies in his stomach	tener mariposas en el estómago
a chip on my shoulder	un chip en mi hombro
laugh their head off	reírse la cabeza fuera
all hands on deck	todas las manos en cubierta
under wraps	bajo envolturas
to beat around the bush	dar vueltas alrededor del arbusto
wet behind the ears	mojado detrás de las orejas
in order	en orden
nip it in the bud	cortarlo en la yema
took the plunge	tomó el chapuzón
bring home the bacon	traer a casa el tocino
big break	gran oportunidad | gran oportunidad de éxito
out of the blue	de la nada | inesperadamente
blank out	quedarse en blanco
feeling under the weather	sintiéndose bajo el clima
sit on her hands	sentarse sobre sus manos
went out the window	salió por la ventana
feeling jittery	sintiendo nerviosismo
by the wayside	al borde del camino
get away from it all	alejarse de todo
cash cow	vaca lechera
off the charts	fuera de las gráficas
to heart	al corazón
flash in the pan	destello en la sartén
dogged determination	determinación obstinada
meeting of the minds	reunión de mentes
burn any bridges	quemar cualquier puente
bite my tongue	morder mi lengua
to break the ice	romper el hielo
to clean house	limpiar la casa
to call it a day	llamarlo un día
walking on eggshells	caminando sobre cáscaras de huevo
fair weather	tiempo justo | buen tiempo
to get our foot in the door	poner nuestro pie en la puerta
count her chickens before they hatched	contar sus pollos antes de que eclosionen
Burning the midnight oil	quemando el aceite de medianoche
keep your head above water	mantener tu cabeza por encima del agua
put two and two together	juntar dos y dos
black and white	negro y blanco
missed the boat	perder el barco
fast learner	aprendiz rápido
let it all hang out	dejarlo todo colgar
walk the walk	caminar el camino
your foot in the door	tu pie en la puerta
get our ducks in a row	poner nuestros patos en fila
to have her cake and eat it too	tener su pastel y comérselo también
have bigger fish to fry	tener peces más grandes que freír
let my hair down	soltar mi cabello
has a heart of gold	tiene un corazón de oro
put my two cents in	dar mi opinión (literalmente: poner mis dos centavos)
the pedal to the metal	el pedal al metal
spilling the beans	derramando los frijoles
outside the box	fuera de la caja
a thorn in my side	una espina en mi costado
making waves	haciendo olas
lame duck	pato cojo
all mouth and no trousers	todo boca y sin pantalones
practice makes perfect	La práctica hace al maestro.
brownie points	puntos de brownie
a can of worms	una lata de gusanos
deer caught in headlights	ciervo atrapado en los faros
more harm than good	más daño que bien
the bag	la bolsa
a stiff upper lip	un labio superior rígido
blew her top	sopló su parte superior
to tighten our belts	apretar nuestros cinturones
to stay above water	mantenerse por encima del agua
finger-licking good	bueno para chuparse los dedos
to face the music	enfrentar la música
to fit a square peg into a round hole	encajar un clavo cuadrado en un agujero redondo
be a breath of fresh air	ser un soplo de aire fresco
get back on the horse	volver a subirse al caballo
to be ahead of the curve	estar por delante de la curva
to bark up the wrong tree	ladrar al árbol equivocado
made the cut	pasar el corte
to bring home the bacon	traer a casa el tocino
To make a long story short	Para hacer una historia larga corta
lean on	apoyarse en
rock the boat	mover el barco
shoulder to cry on	hombro para llorar
kill them with kindness	matarlos con amabilidad
at a low ebb	en una baja marea
on the ball	en la pelota
pull it off	lograrlo | conseguirlo
perseverance pays off	la perseverancia tiene recompensa
land on his feet	aterrizar sobre sus pies
take your eye off the ball	quitar tu ojo de la pelota
cutting the mustard	cortando la mostaza
feel the burn	sentir la quemadura
grin from ear to ear	sonreír de oreja a oreja
cup of tea	taza de té
pat on the back	palmada en la espalda
peaches and cream	duraznos y crema
on edge	en el borde
pinch of salt	pizca de sal
close to his chest	cerca de su pecho
cutting it too thin	cortándolo demasiado delgado
midnight oil	aceite de medianoche
guts and grit	tripas y determinación
moving full steam ahead	avanzando a toda máquina
play both sides	jugar en ambos lados
stay put	quedarse quieto | permanecer en el mismo lugar
Biting the bullet	Morder la bala.
you can't have your cake and eat it too	no puedes tener tu pastel y comértelo también
pulling my leg	tirando de mi pierna
pulled the rug out from under me	me sacó la alfombra de debajo de los pies
Barking up the wrong tree	ladrando al árbol equivocado
budge an inch	moverse una pulgada
running on fumes	corriendo con vapores
off the wall	fuera de lo común | inesperado | sorprendente
raining on our parade	lloviendo en nuestro desfile
playing with fire	jugando con fuego
hunker down	agacharse
cross that bridge when I come to it	cruzar ese puente cuando llegue a él
the good fight	la buena lucha
take the plunge	dar el salto
the blues	los blues
turn things around	dar vuelta las cosas
be there for her	estar ahí para ella
sweep them under the rug	barrerlos debajo de la alfombra
cooking the books	cocinando los libros
broke the ice	rompió el hielo
the real deal	el verdadero trato
take a load off	quítate una carga de encima
a bunch of baloney	un montón de tonterías
thin ice	hielo delgado
batting an eye	parpadear
chickens out	acobardearse | echarse para atrás | rajarse
burn bridges	quemar puentes
keep our ducks in a row	mantener nuestros patos en fila
behind closed doors	detrás de puertas cerradas
pull the wool over my eyes	tirar la lana sobre mis ojos
throwing money down the drain	tirando dinero por el desagüe
come back to bite him	volver para morderlo
apple pie	pastel de manzana
cabin fever	fiebre de cabaña
put all our eggs in one basket	poner todos nuestros huevos en una sola canasta
have a bee in his bonnet	tener una abeja en su sombrero
add up	sumar
chasing her tail	persiguiendo su cola
beat a dead horse	golpear un caballo muerto
count your chickens before they hatch	contar tus pollos antes de que nazcan
to kill two birds with one stone	matar dos pájaros de un tiro
keep his eye on the ball	mantener su ojo en la pelota
cloud nine	nube nueve
wrong tree	árbol equivocado
read between the lines	leer entre líneas
monkey business	negocios de monos
sting in the tail	picadura en la cola
landing on his feet	aterrizando sobre sus pies
bee in her bonnet	abeja en su sombrero
not the end of the world	no es el fin del mundo
social butterfly	mariposa social
not his cup of tea	no es su taza de té
march to the beat of your own drum	marchar al ritmo de tu propio tambor
get her feet wet	mojar sus pies
stop and smell the roses	detenerse y oler las rosas
step up their game	aumentar su nivel de juego
take it easy	tómalo con calma
showed his true colors	mostró sus verdaderos colores
bunch of hogwash	montón de tonterías
beauty contest	concurso de belleza
the bee's knees	las rodillas de la abeja
keep her head above water	mantener su cabeza por encima del agua
death warmed over	muerte recalentada
a big fish in a small pond	un pez grande en una charca pequeña
can stomach	NA
sweating bullets	sudando balas
a bee in her bonnet	una abeja en su sombrero
in over his head	enredado en algo demasiado complicado para él | en una situación que no puede manejar
lend a hand	prestar una mano
in the bag	en la bolsa
has bees in his bonnet	tener abejas en su sombrero
miss the boat	perder el barco
had bats in her belfry	tener murciélagos en su campanario
rest on his laurels	descansar en sus laureles
put all her eggs in one basket	poner todos sus huevos en una sola canasta
chip off the old block	astilla del mismo bloque
buried her head in the sand	enterró su cabeza en la arena
touch base	tocar base
there's no tomorrow	no hay mañana
at loggerheads	en desacuerdo | en conflicto
the elephant in the room	el elefante en la habitación
put their best foot forward	poner su mejor pie adelante
keep his cool	mantener la calma
put her foot in her mouth	meter la pata
hold your horses	sostener tus caballos
stealing the show	robando el espectáculo
wears his heart on his sleeve	muestra su corazón en la manga
to mind her own beeswax	ocuparse de sus propios asuntos | meterse en lo que no le importa
cracked the whip	chasquear el látigo
to keep her head above water	mantener su cabeza por encima del agua
skeletons in the closet	esqueletos en el armario
the skin of his teeth	la piel de sus dientes
not to take things personally	no tomar las cosas personalmente
Biting off more than you can chew	Morder más de lo que puedes masticar.
put his two cents in	dar su opinión (literalmente: poner sus dos centavos)
keep an eye out	mantener un ojo afuera
shooting for the moon	apuntando a la luna
changes horses midstream	cambiar de caballo a mitad del río
thrown for a loop	lanzado por un bucle
jump through hoops	saltar a través de aros
letting her hair down	soltando su cabello
lose sleep over something	perder el sueño por algo
get his ducks in a row	poner sus patos en fila
hit it out of the park	golpearlo fuera del parque
manage her time better	administrar su tiempo mejor
fishy going on	algo sospechoso está sucediendo
reap what he sows	cosechar lo que siembra
going around in circles	yendo en círculos
stick with it	mantenerse con ello
on top of the world	en la cima del mundo
let his hair down	soltar su cabello
keep your eye on the ball	mantener tu ojo en la pelota
fair shake	sacudida justa
steals the show	roba el espectáculo
get them straightened out	ponerlos en línea recta
the best thing since sliced bread	la mejor cosa desde el pan rebanado
burning the candle at both ends	quemando la vela por ambos extremos
carved out a successful career	labrar una carrera exitosa
the ball	la pelota
made it big	lograrlo grande
dance to your own tune	bailar al son que tú marques
to keep your eye on the ball	mantener tu ojo en la pelota
let her hair down	soltar su cabello
keeping her in the dark	manteniéndola en la oscuridad
in a pickle	en un encurtido
throwing in the towel	lanzando la toalla
on the wrong side of the bed	en el lado equivocado de la cama
the brass ring	el anillo de latón
test the waters	probar las aguas
six of one and half a dozen of the other	seis de una y media docena de la otra
seeing red	viendo rojo
blow their socks off	soplar sus calcetines fuera
to let off steam	soltar vapor | desahogarse
a shot in the dark	un tiro en la oscuridad
the green light	la luz verde
hot water	agua caliente
to see stars	ver estrellas
woke up on the wrong side of the bed	levantarse con el pie izquierdo
rain check	cheque de lluvia
blow his own trumpet	tocar su propio trompeta
shaken like a leaf	temblando como una hoja
a tough cookie	una galleta dura
black ice	hielo negro
in her element	en su elemento
on pins and needles	en alfileres y agujas
a rock and a hard place	entre la espada y la pared
old hat	sombrero viejo
hit the road	golpear la carretera
a few tricks up their sleeve	unos cuantos trucos bajo la manga
to rock the boat	mecer el bote
to hit the sack	golpear el saco | irse a dormir
to follow one's heart	seguir el corazón
to get the ball rolling	hacer rodar la pelota
to turn the corner	doblar la esquina
to see the light at the end of the tunnel	ver la luz al final del túnel
fishing in troubled waters	pescando en aguas turbulentas
to take the bull by the horns	tomar al toro por los cuernos
out of this world	fuera de este mundo
cracked a smile	rompió una sonrisa
on the same page	en la misma página
let you off the hook	dejarlo fuera del gancho
silly goose	pato tonto
turning the tables	volteando las mesas
cross that bridge when we come to it	cruzar ese puente cuando lleguemos a él
hit it off	conectar | llevarse bien
blow off some steam	soltar vapor
living in a dream world	viviendo en un mundo de ensueño
green behind the ears	verde detrás de las orejas
all thumbs	todas las pulgares
bag of rags	bolsa de trapos
loose ends	extremos sueltos
around the block	alrededor de la cuadra
more than I can chew	más de lo que puedo masticar
paying off	pagando (literally)
blew my mind	sopló mi mente
see eye-to-eye	ver ojo a ojo
big cheese	queso grande
a tempest in a teapot	una tormenta en una tetera
make time	hacer tiempo
count our chickens before they hatch	contar nuestros pollos antes de que nazcan
water under the bridge	agua debajo del puente
throws a curveball	lanza una curva
just what the doctor ordered	justo lo que recetó el médico
too little too late	demasiado poco demasiado tarde
put all my eggs in one basket	poner todos mis huevos en una sola canasta
rubbing salt in my wounds	frotando sal en mis heridas
fly by the seat of his pants	volar por el asiento de sus pantalones
get lost	perderse | largarse | desaparecer
knowledge is power	el conocimiento es poder
meet halfway	encontrarse a mitad de camino
keeping their eye on the ball	manteniendo su ojo en la pelota
paid through the nose	pagado a través de la nariz
kick back and relax	relajarse y descansar
keep their noses to the grindstone	mantener sus narices en la piedra de moler
get your ducks in a row	poner tus patos en fila
be at each other's throats	estar en la garganta del otro
stand their ground	mantener su posición
couldn't see the forest for the trees	no poder ver el bosque por los árboles
Time flies	El tiempo vuela.
burst a blood vessel	reventar un vaso sanguíneo
get down to brass tacks	ir al grano
the wrong side of the bed	el lado equivocado de la cama
picks up the tab	recoge la cuenta
knocked it out of the park	lo sacó del parque
keep his head above water	mantener su cabeza por encima del agua
has a chip on her shoulder	tiene un chip en su hombro
knows the ropes	conoce las cuerdas
set in their ways	establecido en sus formas
bit my tongue	morder mi lengua
find his feet	encontrar sus pies
in one ear and out the other	de un oído y salir por el otro
back to square one	de vuelta a la casilla de salida
come true	cumplirse
beats around the bush	dar vueltas alrededor del arbusto
a flash in the pan	un destello en la sartén
hit the hay early	golpear el heno temprano
lost her marbles	perder sus canicas
wild card	carta salvaje | comodín
a little birdie told me	Un pajarito me dijo
getting our ducks in a row	poniendo nuestros patos en fila
to count his chickens before they hatch	contar sus pollos antes de que nazcan
to grin and bear it	aguantar y sonreír
control freak	maniático del control | obsesivo del control
took a rain check	tomar un cheque de lluvia
live wire	cable vivo | alambre vivo
chill out	relajarse | calmarse
off her chest	fuera de su pecho
down for the count	abajo para la cuenta
light at the end of the tunnel	luz al final del túnel
to open a can of worms	abrir una lata de gusanos
make hay while the sun shines	hacer heno mientras brilla el sol
find a needle in a haystack	encontrar una aguja en un pajar
not even a crumb	ni siquiera una migaja
hit the sack	golpear el saco
butterflies in your stomach	mariposas en el estómago
to put on a brave face	poner una cara valiente
to pull out all the stops	sacar todos los tapones
a dish that steals the show	un plato que roba el espectáculo
fail by a country mile	fallar por una milla de campo
to shoot your shot	disparar tu tiro
to keep his head above water	mantener su cabeza por encima del agua
to prove them all wrong	demostrarles a todos que están equivocados
tie the knot	atar el nudo
take it with a grain of salt	tomarlo con un grano de sal
pull someone's leg	tirar de la pierna de alguien
skip a beat	saltar un latido
to put my best foot forward	poner mi mejor pie adelante
keep his nose to the grindstone	mantener su nariz en la piedra de moler
get back on her feet	ponerse de pie de nuevo
